created_at,favourites_count,followers_count,friends_count,geo_enabled,id,lang,location,profile_background_color,status_created_at,status_favorited,status_hashtags,status_id,status_lang,status_retweet_count,status_retweeted,status_text,statuses_count,time_zone,utc_offset
Sun Apr 12 20:30:59 +0000 2009,232,859,921,False,30715394,en,PHL,C0DEED,Sat Jul 11 15:21:56 +0000 2015,False,NA,619889364089372672,en,0,False,I've been holding out hope all day that I could squeeze in a nap...not looking like it,40879,Eastern Time (US & Canada),-14400
Thu Mar 19 05:16:00 +0000 2015,60,11,54,False,3097166546,en,NA,C0DEED,Thu Jul 09 17:09:21 +0000 2015,False,"[u'PostMorningRunPic', u'FeelingGood']",619191622966898694,en,0,False,"Good Morning ☺😊😀
#PostMorningRunPic #FeelingGood http://t.co/QFrOzMc48L",62,NA,NA
Thu Jun 09 17:45:45 +0000 2011,807,1422,314,True,314080394,en,"Charlotte, NC",C0DEED,Fri Jul 10 22:27:51 +0000 2015,False,[u'photo'],619634163168202752,en,0,False,Beer at @NoDaBrewing because it's Friday of course. - Drinking a Guildy As Sin at @nodabrewing - http://t.co/jnJr0jiEgw #photo,4856,Eastern Time (US & Canada),-14400
Wed Apr 22 22:24:33 +0000 2015,171,39,142,False,3168009751,en,"White House, TN",C0DEED,Sun Jul 12 04:48:42 +0000 2015,False,NA,620092396844355584,en,0,False,Well damn. I guess that's that then.,206,NA,NA
Fri May 01 16:35:08 +0000 2015,16,8,92,False,3181954832,en,NA,C0DEED,Thu Jun 11 02:23:38 +0000 2015,False,NA,608821865298010113,en,0,False,"You know what's super cute?  When someone ""likes"" their own pic!  -said no one ever.",15,NA,NA
Thu Jun 23 18:59:13 +0000 2011,129,1848,1693,False,322787018,en,Escondido California,050505,Thu May 21 14:03:16 +0000 2015,False,NA,601387788630503424,en,1,False,"Frankly, I'd like to know what happened to the Emperors previous groove.",407,Pacific Time (US & Canada),-25200
Sat Apr 18 17:16:34 +0000 2009,3934,413,879,True,32946410,en,NA,1A1B1F,Sun Jul 12 18:54:50 +0000 2015,False,NA,620305330803621888,en,0,False,"If I would have known female teachers were so slutty in high school I might have gotten better grades, and laid.",13249,Eastern Time (US & Canada),-14400
Tue Jul 05 16:45:23 +0000 2011,3221,452,621,True,329794419,en,Exeter,EDECE9,Sun Jul 12 18:22:01 +0000 2015,False,NA,620297073762676736,en,0,False,@McAgent24 yeah definitely come see us! I wanna hear all about it hun :) xx,9308,London,3600
Mon Jul 11 22:26:50 +0000 2011,4528,247,215,False,333677807,en,University of Dayton 2019 ,CDFC84,Tue Jul 07 15:30:01 +0000 2015,False,NA,618441850278576128,en,0,False,"it is impossible to find a comfy sleeping position on an international flight when you're 5'10""",1982,Central Time (US & Canada),-18000
Fri Jul 22 21:06:32 +0000 2011,0,16,42,True,340530692,en,"Varde, Denmark",C0DEED,Sun Mar 29 18:41:34 +0000 2015,False,"[u'Sonos', u'PersonalVictory']",582251268137172992,en,0,False,"Just convinced my mother, that sound from laptop is terrible, compared to a Sonos Play:5.. Yiihaa! #Sonos #PersonalVictory",37,Copenhagen,7200
Wed Jul 27 02:16:53 +0000 2011,270,156,181,False,343106403,en,Wisconsin,260808,Sun Jul 12 18:14:13 +0000 2015,False,NA,620295110677430273,en,6677,False,RT @TheTweetOfGod: Greece owes Europe some money. Europe owes Greece Western civilization. Call it even?,5167,Central Time (US & Canada),-18000
Thu Jul 28 12:33:06 +0000 2011,145,41,35,False,344019920,en,NA,022330,Fri Jul 10 20:20:41 +0000 2015,False,"[u'Dominion', u'Season2']",619602161241051136,en,0,False,I'm shocked that #Dominion is turning from guilty-pleasure-bad into actually-watchable. The Michael stuff esp. is compelling. #Season2,1545,Paris,7200
